source,source_record_id,kind,severity,longitude,latitude,state,district,corridor,evidence_url,observed_at,is_synthetic,description
MoRTH-Blackspot,AS-BS-001,blackspot,0.85,91.6625,26.1512,Assam,Kamrup Metropolitan,NH-27 Jalukbari Junction,https://morth.nic.in/road-accident-blackspots,2024-04-12T08:30:00Z,true,High-frequency collision blackspot at multi-modal highway confluence.
MoRTH-Blackspot,AS-BS-002,blackspot,0.78,91.8962,26.1044,Assam,Kamrup Metropolitan,NH-27 Jorabat Hill Curve,https://pwdroads.assam.gov.in/portlets/road-safety,2024-05-18T14:15:00Z,true,Sharp hill curvature with wet surface skid risk connecting Assam and Meghalaya.
MoRTH-Blackspot,AS-BS-003,blackspot,0.72,93.7312,26.5841,Assam,Golaghat,NH-129 Numaligarh T-Junction,https://morth.nic.in/road-accident-blackspots,2024-06-02T11:00:00Z,true,Commercial freight turning point with blind blind-spot overtaking hazard.
MoRTH-Blackspot,NL-BS-001,blackspot,0.82,93.7258,25.9083,Nagaland,Dimapur,NH-29 Chumukedima Hill Entry,https://morth.nic.in/road-accident-blackspots,2024-03-22T09:45:00Z,true,Steep slope gradient with heavy freight brake failure history.
MoRTH-Blackspot,MN-BS-001,blackspot,0.80,93.9368,24.8170,Manipur,Imphal West,NH-102 Imphal Ring Road Junction,https://morth.nic.in/road-accident-blackspots,2024-07-10T16:20:00Z,true,Urban-arterial freight merge with severe pedestrian and two-wheeler vulnerability.
MoRTH-Blackspot,SK-BS-001,blackspot,0.75,88.5310,27.1770,Sikkim,Pakyong,NH-10 Rangpo Border Gate,https://morth.nic.in/road-accident-blackspots,2024-08-05T10:30:00Z,true,Teesta gorge narrowing with tight radius turn and monsoon hydroplaning.
MoRTH-Blackspot,ML-BS-001,blackspot,0.74,91.8841,25.5684,Meghalaya,East Khasi Hills,NH-6 Mawryngkneng Bypass,https://morth.nic.in/road-accident-blackspots,2024-05-11T12:00:00Z,true,Heavy fog and mist sector with high rear-end collision probability.
MoRTH-Blackspot,MZ-BS-001,blackspot,0.70,92.7176,23.7271,Mizoram,Aizawl,NH-306 Sairang Approach,https://morth.nic.in/road-accident-blackspots,2024-06-19T13:10:00Z,true,Hairpin descent into river valley with restricted heavy vehicle clearance.
MoRTH-Blackspot,TR-BS-001,blackspot,0.68,91.2868,23.8315,Tripura,West Tripura,NH-8 Amtali Bypass,https://morth.nic.in/road-accident-blackspots,2024-07-25T15:40:00Z,true,Interstate transit blackspot near Agartala logistics yard.
MoRTH-Blackspot,AR-BS-001,blackspot,0.76,93.6053,27.0844,Arunachal Pradesh,Papum Pare,NH-415 Itanagar-Naharlagun Corridor,https://morth.nic.in/road-accident-blackspots,2024-04-30T17:15:00Z,true,Rapid hill descent with seasonal gravel accumulation and water crossing.
GSI-Landslide,GSI-LS-001,landslide,0.92,92.0910,27.5020,Arunachal Pradesh,West Kameng,NH-13 Sela Pass High Altitude Section,https://bhukosh.gsi.gov.in/Landslide,2024-07-02T05:30:00Z,true,Recurrent debris slide and frozen slush blocking high-altitude pass.
GSI-Landslide,GSI-LS-002,landslide,0.88,92.2340,27.2800,Arunachal Pradesh,West Kameng,NH-13 Bhalukpong-Tenga Gorge,https://bhukosh.gsi.gov.in/Landslide,2024-06-28T09:00:00Z,true,Fragile shale rockfall triggered by torrential pre-monsoon precipitation.
GSI-Landslide,GSI-LS-003,landslide,0.90,92.3610,25.1200,Meghalaya,East Jaintia Hills,NH-6 Sonapur Tunnel Approach,https://bhukosh.gsi.gov.in/Landslide,2024-07-14T04:45:00Z,true,Major mudslide and boulder rollout shutting down Barak Valley supply line.
GSI-Landslide,GSI-LS-004,landslide,0.86,94.1086,25.6751,Nagaland,Kohima,NH-29 Phesama Sinking Zone,https://bhukosh.gsi.gov.in/Landslide,2024-08-11T07:15:00Z,true,Active tectonic subsidence causing road bed displacement and cliff slippage.
GSI-Landslide,GSI-LS-005,landslide,0.89,88.5800,27.6000,Sikkim,Mangan,North Sikkim Highway Chungthang Lifeline,https://bhukosh.gsi.gov.in/Landslide,2024-10-04T06:00:00Z,true,Glacial lake outburst flood legacy with active slope failure into Teesta.
GSI-Landslide,GSI-LS-006,landslide,0.84,93.0200,25.1800,Assam,Dima Hasao,NH-27 Haflong Hill Highway,https://bhukosh.gsi.gov.in/Landslide,2024-06-17T11:30:00Z,true,Deep-seated soil slump across double carriageway following 120mm rainfall.
GSI-Landslide,GSI-LS-007,landslide,0.79,92.7400,24.1200,Mizoram,Kolasib,NH-306 Kawnpui Sector,https://bhukosh.gsi.gov.in/Landslide,2024-07-29T14:00:00Z,true,Monsoon hill cut failure obstructing fuel tankers and food convoys.
CWC-Flood,CWC-FL-001,flood,0.88,93.3500,26.6000,Assam,Nagaon,NH-715 Kaziranga Southern Corridor,https://ffs.india-water.gov.in/,2024-07-08T03:00:00Z,true,Brahmaputra overflow overtopping highway surface; restricted 20km/h animal corridor.
CWC-Flood,CWC-FL-002,flood,0.82,90.6200,26.1700,Assam,Goalpara,NH-17 Lower Assam Flood Plain,https://ffs.india-water.gov.in/,2024-08-01T08:00:00Z,true,River Jinjiram backwater flooding approach embankments.
CWC-Flood,CWC-FL-003,flood,0.85,92.8000,24.8300,Assam,Cachar,NH-37 Silchar Barak River Crossing,https://ffs.india-water.gov.in/,2024-07-12T10:00:00Z,true,Severe waterlogging at bridge approach ramps isolating Cachar logistics hubs.
PWD-BridgeConstraint,PWD-BR-001,road_damage,0.72,92.0500,27.3500,Arunachal Pradesh,West Kameng,Tenga River Bailey Bridge,https://arunachalpwd.gov.in/,2024-05-15T09:00:00Z,true,Structural 18T load ceiling; multi-axle freight barred from crossing.
PWD-BridgeConstraint,PWD-BR-002,road_damage,0.68,88.5200,27.4800,Sikkim,North Sikkim,Dikchu River Steel Truss Bridge,https://sikkimpwd.gov.in/,2024-06-01T12:00:00Z,true,Height clearance restricted to 3.8m due to overhead reinforcement struts.
PWD-BridgeConstraint,PWD-BR-003,road_damage,0.75,93.8800,25.3200,Manipur,Senapati,Barak River Tributary Bridge,https://manipurnepwd.nic.in/,2024-07-20T11:00:00Z,true,Single-lane alternating crossing with 16T maximum axle limit.
PWD-BridgeConstraint,PWD-BR-004,road_damage,0.65,92.6800,23.8500,Mizoram,Kolasib,Chhimtuipui Feeder Bridge,https://pwd.mizoram.gov.in/,2024-06-25T14:30:00Z,true,Scour damage to south pier; heavy commercial traffic diverted to bypass.
